ID   source_index target_index  pSource.x   pSource.y    pSource.z   pTarget.x   pTarget.y    pTarget.z   currentR  endvertex 
 213      3964      3786      7.17562      -3.71875      -3.47088      7.18805      -3.76453      -3.526      0.0037727      0
 214      11673      3786      7.17562      -3.71875      -3.47088      7.14844      -3.78125      -3.468      0.00187926      1
 215      3943      3964      7.18805      -3.76453      -3.526      7.375      -3.84375      -3.569      0.00280322      0
 216      11733      3943      7.375      -3.84375      -3.569      7.44531      -3.96875      -3.597      0.00162404      0
 217      11853      11733      7.44531      -3.96875      -3.597      7.46875      -4      -3.619      0.00101641      0
 218      3930      11853      7.46875      -4      -3.619      7.47656      -3.96875      -3.773      0.000409547      1
 219      11874      3813      7.36719      -3.75      -3.462      7.41406      -3.8125      -3.48      0.000656048      0
 220      11875      11874      7.41406      -3.8125      -3.48      7.36719      -3.875      -3.5      0.000196353      1
 221      4011      11577      7.04527      -3.63419      -3.47941      6.96875      -3.59375      -3.382      0.00243259      0
 222      11954      4011      6.96875      -3.59375      -3.382      6.94531      -3.65625      -3.296      0.00164075      0
 223      3757      11954      6.94531      -3.65625      -3.296      6.97656      -3.71875      -3.291      0.000602179      1
 224      4013      11954      6.94531      -3.65625      -3.296      6.89062      -3.6875      -3.257      0.0010574      0
 225      3728      4013      6.89062      -3.6875      -3.257      6.80469      -3.71875      -3.139      0.000386563      1
 226      11955      4013      6.89062      -3.6875      -3.257      6.89062      -3.75      -3.262      0.000386563      1
 227      3988      3760      7.04688      -3.5625      -3.672      7.11719      -3.625      -3.608      0.000403548      1
 228      11627      3760      7.04688      -3.5625      -3.672      7.07031      -3.65625      -3.606      0.000403548      1
 229      11628      3760      7.04688      -3.5625      -3.672      7.09375      -3.625      -3.749      0.000535542      0
 230      3987      11628      7.09375      -3.625      -3.749      7.125      -3.59375      -3.76      0.000104729      1
 231      12092      11233      6.125      -3.28125      -4.89      6.20312      -3.3125      -4.791      0.0344545      0
 232      12017      11403      6.35938      -3.625      -4.612      6.40625      -3.625      -4.532      0.0301624      0
 233      3648      4038      6.42782      -4.03533      -4.46552      6.35156      -4.09375      -4.481      0.00775567      0
 234      11533      4038      6.42782      -4.03533      -4.46552      6.46094      -4.125      -4.513      0.0139527      0
 235      11984      4038      6.42782      -4.03533      -4.46552      6.375      -4.03125      -4.305      0.0086268      0
 236      4069      11984      6.375      -4.03125      -4.305      6.1875      -4.03125      -4.23      0.00253901      0
 237      3563      4069      6.1875      -4.03125      -4.23      6.0625      -4      -4.121      0.00131902      0
 238      3601      4069      6.1875      -4.03125      -4.23      6.17969      -4.15625      -4.164      0.00087028      1
 239      3562      3563      6.0625      -4      -4.121      6.03125      -4.0625      -4.013      0.000369888      1
 240      4105      3563      6.0625      -4      -4.121      5.99219      -4      -3.996      0.000369888      1
 241      4014      11533      6.46094      -4.125      -4.513      6.48438      -4.15625      -4.516      0.00759112      0
 242      11957      11533      6.46094      -4.125      -4.513      6.44531      -4.15625      -4.476      0.0133319      0
 243      3688      11957      6.44531      -4.15625      -4.476      6.46094      -4.21875      -4.429      0.0128195      0
 244      3689      11957      6.44531      -4.15625      -4.476      6.4556      -4.1372      -4.44358      0.00730893      0
 245      11532      3689      6.4556      -4.1372      -4.44358      6.45191      -4.14236      -4.42553      0.00185597      0
 246      3647      11532      6.45191      -4.14236      -4.42553      6.42378      -4.13643      -4.43663      0.00169256      0
 247      4040      3647      6.42378      -4.13643      -4.43663      6.37847      -4.19965      -4.41994      0.000769988      0
 248      11474      3647      6.42378      -4.13643      -4.43663      6.36571      -4.15203      -4.38843      0.00134465      0
 249      11531      11474      6.36571      -4.15203      -4.38843      6.39844      -4.21875      -4.21      0.000513615      1
 250      3646      4040      6.37847      -4.19965      -4.41994      6.38103      -4.20714      -4.41577      1.74828e-05      1
 251      3729      3688      6.46094      -4.21875      -4.429      6.57269      -4.15421      -4.35635      0.00583496      1
 252      3991      3688      6.46094      -4.21875      -4.429      6.625      -4.21875      -4.387      0.00583496      1
 253      3992      3688      6.46094      -4.21875      -4.429      6.52344      -4.375      -4.315      0.00616388      0
 254      11573      3688      6.46094      -4.21875      -4.429      6.50781      -4.40625      -4.416      0.0117528      0
 255      11572      11573      6.50781      -4.40625      -4.416      6.48421      -4.46875      -4.37308      0.0106962      0
 256      3727      11572      6.48421      -4.46875      -4.37308      6.45312      -4.59375      -4.341      0.00988186      0
 257      3967      11572      6.48421      -4.46875      -4.37308      6.54297      -4.60156      -4.34922      0.00500159      0
 258      11621      3967      6.54297      -4.60156      -4.34922      6.5625      -4.625      -4.319      9.81773e-05      1
 259      11903      3727      6.45312      -4.59375      -4.341      6.51562      -4.625      -4.364      0.00909578      0
 260      11934      3727      6.45312      -4.59375      -4.341      6.4633      -4.65246      -4.31082      0.00863363      0
 261      3726      11934      6.4633      -4.65246      -4.31082      6.40625      -4.71875      -4.305      0.00396829      0
 262      11904      11934      6.4633      -4.65246      -4.31082      6.46875      -4.6875      -4.352      0.00769422      0
 263      3969      11904      6.46875      -4.6875      -4.352      6.46094      -4.75      -4.32      0.00722826      0
 264      11619      3969      6.46094      -4.75      -4.32      6.47656      -4.78125      -4.293      0.00680267      0
 265      3970      11619      6.47656      -4.78125      -4.293      6.42969      -4.8125      -4.248      0.00637415      0
 266      11618      11619      6.47656      -4.78125      -4.293      6.4375      -4.875      -4.3      0.00322049      0
 267      11883      11618      6.4375      -4.875      -4.3      6.46321      -4.86794      -4.27629      8.00583e-05      1
 268      3724      3970      6.42969      -4.8125      -4.248      6.33594      -4.84375      -4.206      0.00571776      0
 269      3971      3970      6.42969      -4.8125      -4.248      6.39844      -4.84375      -4.143      0.00285026      1
 270      11617      3970      6.42969      -4.8125      -4.248      6.39062      -4.9375      -4.211      0.00285026      1
 271      11616      11907      6.28125      -4.9375      -4.118      6.22656      -5.21875      -4.073      0.00331004      0
 272      3723      11616      6.22656      -5.21875      -4.073      6.17188      -5.21875      -4.072      0.00108279      1
 273      11884      11616      6.22656      -5.21875      -4.073      6.22656      -5.25      -4.003      0.00206535      0
 274      3949      11884      6.22656      -5.25      -4.003      6.33594      -5.21875      -3.922      0.000845578      1
 275      3950      11884      6.22656      -5.25      -4.003      6.25781      -5.3125      -3.986      0.00118383      0
